,endTime,artistName,trackName,msPlayed
204,2021-04-16 07:37,NAV,Run It Up (feat. Pop Smoke),2345.0
205,2021-04-17 02:09,Playboi Carti,Right Now (feat. Pi'erre Bourne),18712.0
206,2021-04-20 05:40,Snoop Dogg,"Young, Wild & Free (feat. Bruno Mars)",199621.0
208,2021-04-20 05:44,Polo G,Heartless (feat. Mustard),204000.0
209,2021-04-20 05:45,A Boogie Wit da Hoodie,Reply (feat. Lil Uzi Vert),96269.0
210,2021-04-20 05:48,Mustard,Ballin' (with Roddy Ricch),180434.0
211,2021-04-20 05:52,Megan Thee Stallion,Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),199427.0
212,2021-04-20 05:52,Lil Tecca,Weatherman,2569.0
213,2021-04-20 05:54,Gunna,Sold Out Dates (feat. Lil Baby),166368.0
214,2021-04-20 05:58,YoungBoy Never Broke Again,Self Control,185865.0
215,2021-04-20 06:00,Roddy Ricch,Start Wit Me (feat. Gunna),158691.0
216,2021-04-20 06:02,iann dior,Never Is Enough,80867.0
217,2021-04-20 06:03,YG,"Go Loko (feat. Tyga, Jon Z)",46068.0
218,2021-04-20 06:04,Mustard,"Baguettes in the Face (feat. NAV, Playboi Carti & A Boogie Wit da Hoodie)",24798.0
219,2021-04-20 06:05,6 Dogs,Faygo Dreams,31463.0
220,2021-04-20 06:07,YBN Nahmir,Rubbin off the Paint,121951.0
221,2021-04-20 06:11,DJ Khaled,GREECE (feat. Drake),218901.0
222,2021-04-20 06:13,Russ,What They Want,111018.0
223,2021-04-20 06:17,Third Eye Blind,Never Let You Go - 2008 Remaster,237240.0
224,2021-04-20 06:21,Drake,Laugh Now Cry Later (feat. Lil Durk),261492.0
225,2021-04-20 06:24,Pop Smoke,Got It On Me,164579.0
226,2021-04-20 06:26,Pop Smoke,For The Night (feat. Lil Baby & DaBaby),117607.0
227,2021-04-24 17:18,YNW Melly,223's (feat. 9lokknine),84799.0
228,2021-04-24 17:23,Cherub,Doses & Mimosas,323253.0
229,2021-04-24 17:27,G-Eazy,1942 (feat. Yo Gotti & YBN Nahmir),213080.0
230,2021-04-24 17:29,sammy rash,summer&cigarettes,114427.0
231,2021-04-24 17:32,Mac Miller,The Spins,195873.0
232,2021-04-24 17:33,21 Savage,Mr. Right Now (feat. Drake),54203.0
233,2021-04-24 17:33,Sammy Adams,All Night Longer,3343.0
234,2021-04-24 17:34,Mooski,Track Star,54218.0
235,2021-04-24 17:37,Wes Walker,Jordan Belfort,201711.0
236,2021-04-24 17:40,Rae Sremmurd,Powerglide (feat. Juicy J) - From SR3MM,172733.0
237,2021-04-24 17:43,Tiësto,Jackie Chan,215759.0
238,2021-04-24 17:50,Preme,Jackie Chan,133850.0
239,2021-04-24 17:53,Post Malone,Circles,203824.0
